country,year,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,longitude,latitude
Latvia,1938,0.113,0.84,0.116,0.02,0.967,0.816,25,57
Lithuania,1938,0.063,1.117,2.634,0.047,2.252,0.422,23.904,54.899
Malaysia,1938,0.044,1.29,0.188,0.124,0.623,0.036,112.5,2.5
Mexico,1938,0.185,2.07,2.87,2.037,19.972,0.196,-102,23
Moldova,1938,0.02,1.898,1.475,0.022,1.089,0.343,28.37,47.412
Montenegro,1938,0.154,0.127,0.038,1.137,0,0.529,19.3,42.5
Netherlands,1938,0.225,38.007,0.095,0.382,5.075,1.127,5.55,52.317
New Zealand,1938,0.109,4.133,0.264,17.002,0.004,0.744,173,-42
Nigeria,1938,0.039,0.975,1.139,1.121,0.958,0.597,10,8
North Korea,1938,0.436,8.595,10.316,24.007,0.303,0.498,127,40
North Macedonia,1938,0.03,0.908,2.686,8.029,0,0.427,21.7,41.6
Norway,1938,0.164,8.533,0.142,0.863,1.781,0.355,8,61
Oceania,1938,0.287,31.99,0.996,5.127,0.004,1.375,133.775,-25.274
Peru,1938,0.051,0.198,1.622,1.326,6.431,5.145,-76,-10
Philippines,1938,0.084,0.073,0.816,9.991,9.732,5.288,122,13
Poland,1938,0.85,56.7,3.182,0.81,1.576,5.435,20,52
Portugal,1938,0.131,3.393,2.822,20.372,0.594,2.813,-9.183,38.7
Romania,1938,0.222,2.945,1.294,3.319,20.226,1.457,25,46
Russia,1938,1.741,181.18,7.568,2.477,59.885,16.941,90,60
Serbia,1938,0.113,3.62,0.087,0.001,0.001,7.886,21,44
Slovakia,1938,0.152,14.879,0.029,0.002,0.021,2.041,19.5,48.667
Slovenia,1938,0.068,0.989,0.019,0.001,0.001,0.655,14.817,46.117
South Africa,1938,0.432,38.267,0.096,3.048,3.943,1.038,25,-30
South Korea,1938,0.024,0.477,0.073,5.576,14.332,1.645,128,36
Spain,1938,0.294,12.655,0.117,0.271,2.445,2.648,-4,40
Sweden,1938,0.491,21.548,0.146,0.076,4.096,0.996,16,63
Switzerland,1938,0.32,8.867,0.483,0.61,1.271,0.427,8.333,46.833
Taiwan,1938,0.147,5.833,1.497,0.055,0.011,0.556,121,24
Tajikistan,1938,0.012,0.658,0.387,0.01,0.445,0.913,71,39
Trinidad and Tobago,1938,0.122,3.624,1.721,0.539,7.801,2.18,-61.1,10.6
Tunisia,1938,0.033,0.005,0.958,14.693,2.39,2.466,9,34
Turkey,1938,0.131,4.503,0.259,6.335,2.751,2.824,35,39
Turkmenistan,1938,0.09,0.804,0.248,0.236,3.458,6.965,60,40
Ukraine,1938,0.451,62.516,3.237,0.492,10.539,8.068,32,49
United Kingdom,1938,3.903,439.801,0.748,12.892,5.236,3.249,-3,55
United States,1938,9.182,906.794,34.055,115.32,482.196,11.997,-100,40
Uzbekistan,1938,0.35,6.713,16.075,0.458,4.801,27.588,63,42
Venezuela,1938,0.018,0.015,25.289,1.609,4.48,27.588,-65,7
Vietnam,1938,0.131,6.221,18.791,17.195,11.387,27.588,108,16
Zimbabwe,1938,0.198,2.77,0.572,1.249,1.156,27.588,30,-20
Argentina,1939,0.556,7.764,4.284,0.887,8.171,1.379,-58.382,-34.604
Armenia,1939,0.021,0.436,0.855,0.045,1.541,1.379,45.038,40.069
Australia,1939,0.338,31.804,0.365,0.716,7.404,1.379,151.21,-33.865
Austria,1939,0.367,5.526,9.722,0.056,0.443,2.671,14.55,47.516
Azerbaijan,1939,0.065,0.243,0.179,0.278,5.268,1.361,48.5,41.4
Belarus,1939,0.091,3.186,0.281,0.117,9.405,3.391,27.953,53.71
Belgium,1939,1.261,72.448,0.038,8.087,3.779,1.738,4.47,50.504
Bosnia and Herzegovina,1939,0.007,1.34,0.054,0,0,1.597,18.294,44.409
Brazil,1939,0.345,5.474,0.008,0.004,0.128,1.438,-46.625,-23.534
Bulgaria,1939,0.087,3.396,0.504,2.495,0.888,1.184,25.486,42.734
Canada,1939,0.451,74.195,1.247,1.861,18.497,2.831,-123.116,49.246
Chile,1939,0.167,4.84,0.941,9.684,0.208,1.616,-70.674,-33.447
China,1939,0.223,65.71,0.443,2.589,1.18,1.365,104.195,35.862
Croatia,1939,0.467,0.965,0.043,0.006,0.006,0.322,15.967,45.815
Czechia,1939,0.091,51.139,0.417,0.002,0.044,1.234,14.419,50.074
Denmark,1939,0.345,15.957,0.055,0.017,4.366,0.969,12.568,55.676
Egypt,1939,0.185,0.899,1.294,0.6,2.041,0.272,30.802,26.821
Estonia,1939,0.07,3.302,0.563,0.005,0.374,0.162,24.754,59.437
Finland,1939,0.28,3.793,0.096,0.508,0.798,0.988,24.946,60.192
France,1939,1.894,177.059,2.998,0.309,17.558,2.551,2.349,48.865
Georgia,1939,0.02,1.229,0.418,0.044,1.823,8.005,44.783,41.717
Germany,1939,6.898,639.397,0.699,0.059,2.272,10.057,13.405,52.52
Greece,1939,0.171,0.081,0.625,1.446,0.273,3.457,21.824,39.074
Hungary,1939,0.241,13.978,0.309,0.022,0.443,1.299,19.04,47.498
Indonesia,1939,0.084,4.726,2.701,1.879,22.512,0.184,106.774,-6.121
Iran,1939,0.904,0.198,11.45,27.761,29.854,0.31,53.688,32.428
Ireland,1939,0.127,11.402,22.678,16.991,46.876,0.531,-8.244,53.413
Italy,1939,2.526,37.292,2.907,0.033,6.269,3.681,12.496,41.903
Japan,1939,2.508,124.151,0.536,0.099,0.989,9.05,138.253,36.205
Kazakhstan,1939,0.107,22.799,0.904,0.043,2.79,4.645,66.924,48.02
Kyrgyzstan,1939,0.024,1.832,0.792,0.008,0.508,1.76,74.766,41.204
Latvia,1939,0.118,0.853,0.115,0.02,0.975,0.811,25,57
Lithuania,1939,0.063,1.137,2.563,0.047,2.275,0.423,23.904,54.899
Malaysia,1939,0.042,1.187,0.189,0.123,0.517,0.036,112.5,2.5
Mexico,1939,0.204,1.66,2.854,1.971,18.829,0.197,-102,23
Moldova,1939,0.02,1.927,1.435,0.022,1.097,0.344,28.37,47.412
Montenegro,1939,0.153,0.133,0.037,1.13,0,0.53,19.3,42.5
Netherlands,1939,0.269,40.432,0.094,0.345,4.465,1.128,5.55,52.317
New Zealand,1939,0.116,4.346,0.257,16.477,0.004,0.739,173,-42
Nigeria,1939,0.04,0.821,1.139,1.079,0.922,0.596,10,8
North Korea,1939,0.561,10.656,10.252,23.873,0.312,0.498,127,40
North Macedonia,1939,0.027,0.957,2.623,7.896,0,0.426,21.7,41.6
Norway,1939,0.193,10.241,0.144,0.873,2.081,0.354,8,61
Oceania,1939,0.454,36.149,0.966,4.914,0.004,1.401,133.775,-25.274
Peru,1939,0.058,0.286,1.622,1.226,5.507,5.147,-76,-10
Philippines,1939,0.086,0.084,0.836,9.803,9.015,5.289,122,13
Poland,1939,0.75,49.827,3.203,0.462,1.612,5.437,20,52
Portugal,1939,0.145,3.964,2.77,19.995,0.641,2.769,-9.183,38.7
Romania,1939,0.262,2.748,1.291,3.037,19.141,1.462,25,46
Russia,1939,1.741,183.79,7.748,2.477,60.284,17.341,90,60
Serbia,1939,0.105,3.812,0.086,0.001,0.001,7.872,21,44
Slovakia,1939,0.052,16.297,0.029,0.002,0.023,2.026,19.5,48.667
Slovenia,1939,0.063,1.046,0.019,0.001,0.001,0.648,14.817,46.117
South Africa,1939,0.469,39.688,0.096,3.056,4.026,1.043,25,-30
South Korea,1939,0.031,0.592,0.073,5.463,13.179,1.65,128,36
Spain,1939,0.589,14.803,0.118,0.322,2.362,2.654,-4,40
Sweden,1939,0.585,24.149,0.15,0.078,4.565,0.988,16,63
Switzerland,1939,0.32,10.548,0.474,0.575,1.312,0.423,8.333,46.833
Taiwan,1939,0.133,6.947,1.488,0.22,0.015,0.559,121,24
Tajikistan,1939,0.012,0.668,0.378,0.01,0.448,0.916,71,39
Trinidad and Tobago,1939,0.115,3.326,1.727,0.623,8.83,2.183,-61.1,10.6
Tunisia,1939,0.029,0.003,0.931,13.469,2.247,2.469,9,34
Turkey,1939,0.142,4.763,0.259,6.177,2.446,2.827,35,39
Turkmenistan,1939,0.09,0.82,0.25,0.237,3.497,6.97,60,40
Ukraine,1939,0.451,63.363,3.252,0.491,10.6,8.073,32,49
United Kingdom,1939,3.798,447.352,0.732,9.67,5.104,3.254,-3,55
United States,1939,10.726,1024.988,34.81,124.122,508.158,12.231,-100,40
Uzbekistan,1939,0.351,6.822,15.636,0.459,4.841,27.588,63,42
Venezuela,1939,0.044,0.007,25.499,1.416,6.947,27.588,-65,7
Vietnam,1939,0.153,6.94,18.42,16.796,10.468,27.588,108,16
Zimbabwe,1939,0.174,2.968,0.572,1.249,1.083,27.588,30,-20
Argentina,1940,0.534,5.369,4.212,0.916,9.045,1.379,-58.382,-34.604
Armenia,1940,0.024,0.603,0.832,0.073,1.751,1.379,45.038,40.069
Australia,1940,0.349,28.689,0.366,0.685,7.643,1.379,151.21,-33.865
Austria,1940,0.403,5.672,9.533,0.06,1.268,2.64,14.55,47.516
Azerbaijan,1940,0.075,0.345,0.18,0.461,6.137,1.366,48.5,41.4
Belarus,1940,0.102,4.394,0.287,0.189,10.659,3.396,27.953,53.71
Belgium,1940,0.105,61.999,0.039,7.352,4.109,1.756,4.47,50.504
Bosnia and Herzegovina,1940,0.019,1.549,0.053,0,0,1.596,18.294,44.409
Brazil,1940,0.367,5.969,0.008,0.004,0.15,1.437,-46.625,-23.534
Bulgaria,1940,0.082,4.1,0.497,2.404,0.857,1.183,25.486,42.734
Canada,1940,0.592,84.718,1.248,2.184,21.127,2.836,-123.116,49.246
Chile,1940,0.189,5.071,0.878,8.717,0.19,1.614,-70.674,-33.447
China,1940,0.272,83.979,0.454,2.355,1.795,1.362,104.195,35.862
Croatia,1940,0.366,1.676,0.042,0.006,0.009,0.32,15.967,45.815
Czechia,1940,0.07,57.657,0.418,0.002,0.062,1.264,14.419,50.074
Denmark,1940,0.218,14.605,0.055,0.017,4.42,0.966,12.568,55.676
Egypt,1940,0.178,0.863,1.297,0.58,2.851,0.271,30.802,26.821
Estonia,1940,0.025,4.018,0.551,0.007,0.374,0.162,24.754,59.437
Finland,1940,0.149,1.858,0.096,0.518,0.308,0.991,24.946,60.192
France,1940,1.788,127.35,3.071,0.208,10.387,2.598,2.349,48.865
Georgia,1940,0.022,1.642,0.408,0.069,2.002,8.022,44.783,41.717
Germany,1940,5.31,645.747,0.713,0.029,3.239,10.074,13.405,52.52
Greece,1940,0.094,0.143,0.613,1.418,0.296,3.409,21.824,39.074
Hungary,1940,0.286,14.986,0.309,0.059,0.78,1.301,19.04,47.498
Indonesia,1940,0.084,5.331,2.729,1.946,21.456,0.185,106.774,-6.121
Iran,1940,0.033,0.245,11.462,26.062,26.85,0.311,53.688,32.428
Ireland,1940,0.134,11.388,22.234,16.556,42.704,0.532,-8.244,53.413
Italy,1940,2.373,42.704,2.93,0.048,3.906,3.705,12.496,41.903
Japan,1940,2.101,150.125,0.52,0.103,0.916,9.104,138.253,36.205
Kazakhstan,1940,0.107,27.885,0.909,0.061,2.805,4.61,66.924,48.02
Kyrgyzstan,1940,0.024,2.287,0.773,0.011,0.521,1.755,74.766,41.204
Latvia,1940,0.015,1.143,0.114,0.031,1.073,0.806,25,57
Lithuania,1940,0.07,1.543,2.493,0.074,2.535,0.424,23.904,54.899
Malaysia,1940,0.04,2.107,0.19,0.122,0.462,0.036,112.5,2.5
Mexico,1940,0.24,1.546,2.838,2.095,19.328,0.198,-102,23
Moldova,1940,0.021,2.467,1.394,0.033,1.154,0.345,28.37,47.412
Montenegro,1940,0.152,0.153,0.036,1.123,0,0.531,19.3,42.5
Netherlands,1940,0.249,33.438,0.094,0.308,3.855,1.129,5.55,52.317
New Zealand,1940,0.109,4.65,0.249,15.952,0.004,0.734,173,-42
Nigeria,1940,0.041,0.835,1.14,1.036,0.886,0.596,10,8
North Korea,1940,0.587,14.43,10.188,23.74,0.32,0.497,127,40
North Macedonia,1940,0.031,1.132,2.559,7.763,0,0.425,21.7,41.6
Norway,1940,0.167,5.599,0.145,0.882,0.744,0.354,8,61
Oceania,1940,0.458,33.339,0.935,4.7,0.004,1.427,133.775,-25.274
Peru,1940,0.062,0.3,1.622,1.126,4.935,5.148,-76,-10
Philippines,1940,0.089,0.114,0.857,9.615,8.297,5.29,122,13
Poland,1940,0.65,165.638,3.223,0.417,1.608,5.438,20,52
Portugal,1940,0.134,3.092,2.718,19.619,0.671,2.725,-9.183,38.7
Romania,1940,0.196,2.964,1.289,2.964,17.822,1.467,25,46
Russia,1940,1.775,230.219,7.928,3.635,62.052,17.742,90,60
Serbia,1940,0.12,4.5,0.086,0.001,0.001,7.858,21,44
Slovakia,1940,0.04,18.378,0.029,0.002,0.033,2.012,19.5,48.667
Slovenia,1940,0.059,1.282,0.018,0.001,0.001,0.641,14.817,46.117
South Africa,1940,0.411,41.106,0.096,3.064,4.11,1.048,25,-30
South Korea,1940,0.033,0.802,0.073,5.349,12.026,1.656,128,36
Spain,1940,0.77,20.452,0.119,0.396,2.279,2.659,-4,40
Sweden,1940,0.345,16.47,0.154,0.08,1.66,0.979,16,63
Switzerland,1940,0.32,7.119,0.465,0.541,0.872,0.42,8.333,46.833
Taiwan,1940,0.119,7.537,1.479,0.216,0.015,0.562,121,24
Tajikistan,1940,0.013,0.862,0.369,0.016,0.475,0.919,71,39
Trinidad and Tobago,1940,0.108,3.029,1.733,0.747,9.988,2.186,-61.1,10.6
Tunisia,1940,0.031,0.027,0.904,12.245,2.104,2.472,9,34
Turkey,1940,0.131,5.338,0.258,6.02,2.141,2.83,35,39
Turkmenistan,1940,0.101,1.128,0.252,0.382,3.956,6.974,60,40
Ukraine,1940,0.452,77.925,3.268,0.708,10.713,8.077,32,49
United Kingdom,1940,3.692,470.894,0.715,6.448,4.25,3.258,-3,55
United States,1940,11.444,1168.882,35.566,133.707,557.62,12.466,-100,40
Uzbekistan,1940,0.367,8.776,15.197,0.692,5.117,27.588,63,42
Venezuela,1940,0.044,0.015,25.71,1.223,12.285,27.588,-65,7
Vietnam,1940,0.138,6.632,18.048,16.397,9.55,27.588,108,16
Zimbabwe,1940,0.151,3.426,0.572,1.249,1.01,27.588,30,-20
Argentina,1941,0.578,2.686,4.14,1.015,9.662,1.379,-58.382,-34.604
Armenia,1941,0.022,0.471,0.808,0.075,1.66,1.379,45.038,40.069
Australia,1941,0.342,34.203,0.368,0.654,7.882,1.379,151.21,-33.865
Austria,1941,0.418,5.556,9.345,0.064,2,2.609,14.55,47.516
Azerbaijan,1941,0.069,0.27,0.181,0.479,5.827,1.37,48.5,41.4
Belarus,1941,0.093,3.394,0.293,0.195,9.994,3.4,27.953,53.71
Belgium,1941,0.313,64.871,0.04,6.618,4.44,1.774,4.47,50.504
Bosnia and Herzegovina,1941,0.031,1.395,0.053,0,0,1.595,18.294,44.409
Brazil,1941,0.378,5.76,0.008,0.004,0.143,1.436,-46.625,-23.534
Bulgaria,1941,0.077,4.422,0.49,2.313,0.826,1.182,25.486,42.734
Canada,1941,0.658,93.714,1.25,2.305,23.475,2.841,-123.116,49.246
Chile,1941,0.178,5.39,0.814,7.749,0.171,1.612,-70.674,-33.447
China,1941,0.496,104.988,0.464,2.121,2.034,1.36,104.195,35.862
Croatia,1941,0.264,1.465,0.042,0.006,0.006,0.317,15.967,45.815
Czechia,1941,0.098,57.996,0.419,0.002,0.072,1.294,14.419,50.074
Denmark,1941,0.207,17.191,0.055,0.017,4.474,0.964,12.568,55.676
Egypt,1941,0.207,0.828,1.3,0.56,3.745,0.271,30.802,26.821
Estonia,1941,0.022,3.47,0.538,0.007,0.393,0.161,24.754,59.437
Finland,1941,0.153,2.84,0.096,0.529,0.253,0.994,24.946,60.192
France,1941,1.683,118.245,3.144,0.106,-0.018,2.645,2.349,48.865
Georgia,1941,0.021,1.315,0.399,0.07,1.946,8.039,44.783,41.717
Germany,1941,5.608,652.393,0.726,0.026,2.766,10.091,13.405,52.52
Greece,1941,0.033,0.103,0.6,1.389,0.32,3.361,21.824,39.074
Hungary,1941,0.331,16.158,0.31,0.07,1.293,1.302,19.04,47.498
Indonesia,1941,0.084,5.281,2.757,1.675,21.122,0.186,106.774,-6.121
Iran,1941,0.025,0.238,11.474,24.363,20.559,0.313,53.688,32.428
Ireland,1941,0.145,8.303,21.789,16.121,38.532,0.534,-8.244,53.413
Italy,1941,1.381,40.34,2.952,0.07,1.103,3.728,12.496,41.903
Japan,1941,2.882,150.832,0.504,0.099,0.791,9.158,138.253,36.205
Kazakhstan,1941,0.109,24.064,0.913,0.061,2.938,4.575,66.924,48.02
Kyrgyzstan,1941,0.024,1.938,0.754,0.011,0.536,1.75,74.766,41.204
Latvia,1941,0.015,0.922,0.113,0.032,1.051,0.8,25,57
Lithuania,1941,0.065,1.217,2.423,0.076,2.428,0.426,23.904,54.899
Malaysia,1941,0.038,1.853,0.19,0.121,0.33,0.036,112.5,2.5
Mexico,1941,0.265,1.623,2.822,1.762,18.895,0.199,-102,23
Moldova,1941,0.02,2.047,1.354,0.033,1.162,0.346,28.37,47.412
Montenegro,1941,0.151,0.138,0.035,1.116,0.002,0.532,19.3,42.5
Netherlands,1941,0.229,36.897,0.093,0.271,3.245,1.13,5.55,52.317
New Zealand,1941,0.109,4.892,0.241,15.427,0.004,0.728,173,-42
Nigeria,1941,0.041,0.989,1.14,0.994,0.85,0.595,10,8
North Korea,1941,0.613,15.478,10.125,23.607,0.329,0.496,127,40
North Macedonia,1941,0.034,1.017,2.496,7.629,0,0.425,21.7,41.6
Norway,1941,0.156,4.085,0.147,0.891,0.572,0.353,8,61
Oceania,1941,0.451,39.095,0.905,4.487,0.004,1.453,133.775,-25.274
Peru,1941,0.084,0.311,1.621,1.025,4.855,5.149,-76,-10
Philippines,1941,0.091,0.104,0.877,9.426,7.58,5.292,122,13
Poland,1941,0.55,164.059,3.243,0.372,0.744,5.439,20,52
Portugal,1941,0.134,3.089,2.666,19.242,0.557,2.681,-9.183,38.7
Romania,1941,0.305,2.704,1.287,2.81,16.727,1.471,25,46
Russia,1941,1.774,195.715,8.108,3.649,64.028,18.143,90,60
Serbia,1941,0.134,4.048,0.086,0.001,0.001,7.844,21,44
Slovakia,1941,0.056,18.477,0.028,0.002,0.038,1.998,19.5,48.667
Slovenia,1941,0.055,1.149,0.018,0.001,0.001,0.633,14.817,46.117
South Africa,1941,0.432,43.895,0.096,3.071,4.194,1.054,25,-30
South Korea,1941,0.034,0.86,0.073,5.236,10.873,1.661,128,36
Spain,1941,0.81,20.471,0.119,0.227,2.196,2.664,-4,40
Sweden,1941,0.32,14.319,0.157,0.081,0.403,0.971,16,63
Switzerland,1941,0.352,5.932,0.456,0.507,0.341,0.417,8.333,46.833
Taiwan,1941,0.105,7.658,1.47,0.158,0.015,0.564,121,24
Tajikistan,1941,0.013,0.712,0.36,0.016,0.476,0.922,71,39
Trinidad and Tobago,1941,0.101,2.731,1.739,0.748,9.152,2.189,-61.1,10.6
Tunisia,1941,0.029,0.106,0.877,11.021,1.962,2.475,9,34
Turkey,1941,0.135,5.485,0.257,5.863,1.835,2.833,35,39
Turkmenistan,1941,0.096,0.913,0.254,0.393,3.883,6.978,60,40
Ukraine,1941,0.458,67.219,3.283,0.708,11.216,8.082,32,49
United Kingdom,1941,3.587,463.093,0.698,3.226,2.972,3.263,-3,55
United States,1941,14.39,1294.762,36.322,141.533,588.735,12.701,-100,40
Uzbekistan,1941,0.368,7.477,14.759,0.7,5.292,27.588,63,42
Venezuela,1941,0.058,0.015,25.921,1.03,13.956,27.588,-65,7
Vietnam,1941,0.149,6.178,17.677,15.997,8.632,27.588,108,16
Zimbabwe,1941,0.127,3.745,0.572,1.249,0.936,27.588,30,-20
Argentina,1942,0.531,1.385,4.069,1.154,10.409,1.379,-58.382,-34.604
Armenia,1942,0.019,0.131,0.784,0.077,1.039,1.379,45.038,40.069
Australia,1942,0.28,36.222,0.37,0.623,8.121,1.379,151.21,-33.865
Austria,1942,0.338,5.536,9.156,0.068,2.671,2.579,14.55,47.516
Azerbaijan,1942,0.059,0.067,0.183,0.496,3.283,1.375,48.5,41.4
Belarus,1942,0.079,0.958,0.299,0.201,6.369,3.405,27.953,53.71
Belgium,1942,0.251,60.826,0.041,5.883,4.77,1.792,4.47,50.504
Bosnia and Herzegovina,1942,0.043,1.241,0.052,0,0.001,1.595,18.294,44.409
Brazil,1942,0.37,5.445,0.008,0.004,0.048,1.435,-46.625,-23.534
Bulgaria,1942,0.072,5.349,0.482,2.222,0.794,1.181,25.486,42.734
Canada,1942,0.716,105.482,1.252,2.418,22.461,2.847,-123.116,49.246
Chile,1942,0.182,5.624,0.751,6.781,0.152,1.61,-70.674,-33.447
China,1942,0.655,110.58,0.475,1.887,2.506,1.358,104.195,35.862
Croatia,1942,0.163,1.254,0.041,0.007,0.004,0.315,15.967,45.815
Czechia,1942,0.106,62.557,0.42,0.002,0.074,1.325,14.419,50.074
Denmark,1942,0.214,16.257,0.054,0.017,4.528,0.961,12.568,55.676
Egypt,1942,0.207,0.792,1.303,0.54,3.627,0.27,30.802,26.821
Estonia,1942,0.019,1.68,0.525,0.007,0.429,0.161,24.754,59.437
Finland,1942,0.087,2.429,0.097,0.539,0.293,0.997,24.946,60.192
France,1942,1.236,121.081,3.216,0.004,0.176,2.692,2.349,48.865
Georgia,1942,0.018,0.411,0.389,0.072,1.373,8.056,44.783,41.717
Germany,1942,3.602,661.99,0.739,0.026,2.283,10.108,13.405,52.52
Greece,1942,0.015,0.212,0.587,1.36,0.344,3.313,21.824,39.074
Hungary,1942,0.36,16.349,0.31,0.084,2.045,1.303,19.04,47.498
Indonesia,1942,0.071,4.164,2.785,1.404,9.457,0.187,106.774,-6.121
Iran,1942,0.025,0.216,11.486,22.665,29.29,0.314,53.688,32.428
Ireland,1942,0.098,6.918,21.344,15.686,34.36,0.535,-8.244,53.413
Italy,1942,1.108,39.029,2.974,0.095,1.656,3.752,12.496,41.903
Japan,1942,2.151,144.816,0.488,0.099,0.725,9.211,138.253,36.205
Kazakhstan,1942,0.09,11.552,0.918,0.061,3.184,4.54,66.924,48.02
Kyrgyzstan,1942,0.02,0.836,0.736,0.011,0.522,1.745,74.766,41.204
Latvia,1942,0.013,0.302,0.112,0.032,0.778,0.795,25,57
Lithuania,1942,0.055,0.366,2.353,0.078,1.649,0.427,23.904,54.899
Malaysia,1942,0.036,0.66,0.191,0.12,0.288,0.035,112.5,2.5
Mexico,1942,0.291,1.733,2.806,1.674,15.28,0.2,-102,23
Moldova,1942,0.017,0.769,1.313,0.034,0.986,0.347,28.37,47.412
Montenegro,1942,0.151,0.123,0.034,1.109,0.004,0.533,19.3,42.5
Netherlands,1942,0.182,34.412,0.093,0.234,2.635,1.131,5.55,52.317
New Zealand,1942,0.109,4.987,0.234,14.902,0.004,0.723,173,-42
Nigeria,1942,0.042,1.242,1.14,0.951,0.814,0.594,10,8
North Korea,1942,0.554,17.21,10.061,23.474,0.338,0.496,127,40
North Macedonia,1942,0.038,0.903,2.432,7.496,0.001,0.424,21.7,41.6
Norway,1942,0.185,3.942,0.149,0.901,0.499,0.353,8,61
Oceania,1942,0.389,41.209,0.874,4.273,0.004,1.478,133.775,-25.274
Peru,1942,0.094,0.396,1.621,0.925,5.551,5.15,-76,-10
Poland,1942,0.449,180.456,3.263,0.327,1.158,5.44,20,52
Portugal,1942,0.12,2.774,2.614,18.865,0.132,2.638,-9.183,38.7
Romania,1942,0.182,2.917,1.285,3.195,17.378,1.476,25,46
Russia,1942,1.469,81.791,8.288,3.664,60.419,18.543,90,60
Serbia,1942,0.149,3.597,0.086,0.001,0.001,7.83,21,44
Slovakia,1942,0.06,19.933,0.028,0.002,0.039,1.984,19.5,48.667
Slovenia,1942,0.05,1.016,0.018,0.001,0.001,0.626,14.817,46.117
South Africa,1942,0.469,47.954,0.095,3.079,4.277,1.059,25,-30
South Korea,1942,0.031,0.956,0.073,5.123,9.72,1.666,128,36
Spain,1942,0.814,21.944,0.12,0.3,2.113,2.67,-4,40
Sweden,1942,0.407,12.285,0.161,0.083,0.33,0.963,16,63
Switzerland,1942,0.218,5.353,0.447,0.473,0.267,0.414,8.333,46.833
Taiwan,1942,0.113,6.133,1.46,0.161,0.011,0.567,121,24
Tajikistan,1942,0.011,0.26,0.35,0.016,0.393,0.925,71,39
Trinidad and Tobago,1942,0.094,2.433,1.746,0.802,9.863,2.192,-61.1,10.6
Tunisia,1942,0.029,0.132,0.85,9.797,1.819,2.478,9,34
Turkey,1942,0.105,4.84,0.256,5.705,1.53,2.836,35,39
Turkmenistan,1942,0.081,0.251,0.256,0.404,2.407,6.983,60,40
Ukraine,1942,0.378,31.144,3.298,0.708,11.734,8.086,32,49
United Kingdom,1942,3.645,463.36,0.681,0.004,1.891,3.267,-3,55
United States,1942,15.928,1458.597,37.077,153.855,565.693,12.935,-100,40
Uzbekistan,1942,0.306,2.747,14.32,0.707,4.39,27.588,63,42
Venezuela,1942,0.062,0.026,26.131,0.842,10.619,27.588,-65,7
Vietnam,1942,0.087,3.298,17.306,15.598,7.714,27.588,108,16
Zimbabwe,1942,0.104,4.14,0.572,1.249,0.863,27.588,30,-20
Argentina,1943,0.472,1.549,3.997,1.158,10.898,1.379,-58.382,-34.604
Armenia,1943,0.015,0.171,0.76,0.08,1.05,1.379,45.038,40.069
Australia,1943,0.196,34.793,0.371,0.592,8.361,1.379,151.21,-33.865
Austria,1943,0.382,5.844,8.967,0.073,3.386,2.548,14.55,47.516
Azerbaijan,1943,0.048,0.09,0.184,0.514,3.406,1.38,48.5,41.4
Belarus,1943,0.065,1.245,0.305,0.206,6.402,3.41,27.953,53.71
Belgium,1943,0.229,57.624,0.042,5.149,5.101,1.81,4.47,50.504
Bosnia and Herzegovina,1943,0.055,1.086,0.052,0,0.001,1.594,18.294,44.409
Brazil,1943,0.37,5.962,0.008,0.011,0.132,1.434,-46.625,-23.534
Bulgaria,1943,0.067,5.811,0.475,2.131,0.763,1.18,25.486,42.734
Canada,1943,0.574,110.547,1.254,2.345,24.596,2.852,-123.116,49.246
Chile,1943,0.185,5.925,0.688,5.813,0.134,1.608,-70.674,-33.447
China,1943,0.64,95.586,0.486,1.653,0.953,1.356,104.195,35.862
Croatia,1943,0.061,1.044,0.04,0.007,0.001,0.313,15.967,45.815
Czechia,1943,0.115,69.076,0.421,0.002,0.074,1.355,14.419,50.074
Denmark,1943,0.316,20.306,0.054,0.018,4.582,0.958,12.568,55.676
Egypt,1943,0.16,0.757,1.307,0.52,3.942,0.27,30.802,26.821
Estonia,1943,0.016,1.838,0.513,0.007,0.363,0.16,24.754,59.437
Finland,1943,0.116,3.532,0.097,0.549,0.297,1,24.946,60.192
France,1943,1.446,123.517,3.289,0.077,0.205,2.739,2.349,48.865
Georgia,1943,0.014,0.52,0.379,0.073,1.342,8.073,44.783,41.717
Germany,1943,4.485,672.747,0.753,0.018,2.18,10.125,13.405,52.52
Greece,1943,0.018,0.213,0.574,1.332,0.368,3.265,21.824,39.074
Hungary,1943,0.345,16.161,0.311,0.128,2.573,1.304,19.04,47.498
Indonesia,1943,0.057,3.047,2.813,1.133,19.027,0.188,106.774,-6.121
Iran,1943,0.018,0.183,11.497,20.966,30.254,0.315,53.688,32.428
Ireland,1943,0.124,6.987,20.9,15.251,30.188,0.536,-8.244,53.413
Italy,1943,0.846,6.138,2.997,0.095,0.033,3.775,12.496,41.903
Japan,1943,1.861,147.949,0.472,0.081,0.747,9.265,138.253,36.205
Kazakhstan,1943,0.071,12.678,0.922,0.061,2.702,4.505,66.924,48.02
Kyrgyzstan,1943,0.016,0.956,0.717,0.011,0.461,1.74,74.766,41.204
Latvia,1943,0.01,0.377,0.111,0.033,0.75,0.79,25,57
Lithuania,1943,0.045,0.469,2.282,0.08,1.634,0.428,23.904,54.899
